id,name,code,batch_id,no_exams,max_weekly_classes,elective_group_id,is_deleted,created_at,updated_at,credit_hours,prefer_consecutive,amount,ccid,creditdistribution
108,ENGL 1A,10021,34,0,,44,0,,,3,0,220,11,FILIPINO
109,FIL 1,10011,34,0,,44,0,,,3,0,250,11,FILIPINO
110,ENGL 1A,10021,34,0,,44,0,,,3,0,250,12,ENGLISH
111,COLLEGE ALGEBRA,MATH 1,34,0,,44,0,,,3,0,250,14,MATH
112,GENERAL PSYCHOLOGY,PSYCHO 1,34,0,,44,0,,,2.5,0,230,13,PHYSICS
113,ADJUSTMENT TO COLLEGE LIFE,GUIDANCE 101,34,0,,44,0,,,2,0,240,-1,
114,PHILIPPINE HISTORY,HIST 1,34,0,,44,0,,,3,0,250,-1,
115,PHYSICAL FITNESS,P.E. 1,34,0,,44,0,,,3,0,250,-1,
116,ENGL 1A,10021,34,0,,44,0,,,3,0,250,12,ENGLISH
117,BASIC MATHEMATICS,MATH 1,35,0,,45,0,,,3,0,250,14,MATH
118,CONTEMPORARY MATHEMATICS,MATH 102,35,0,,45,0,,,3,0,250,14,MATH
119,LOGIC,PHILO 101,35,0,,45,0,,,3,0,250,0,
120,ELEMENTARY ALGEBRA,MATH 103,35,0,,45,0,,,3,0,250,14,MATH
121,THINKING AND STUDY SKILLS/COMM. ARTS 1,ENG 101,35,0,,45,0,,,3,0,250,12,ENGLISH
122,GRAMMAR REVIEW,ENG 1B,35,0,,45,0,,,3,0,250,12,ENGLISH
123,KOMUNIKASYON SA AKADEMIKONG FILIPINO,FIL 101,35,0,,45,0,,,2.5,0,245,11,FILIPINO
